orgao,link
HC UFPE - Hospital das Clínic...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=844
CFMV - Conselho Federal de Med...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=2377
UFBA - Universidade Federal da...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=863
UFLA - Universidade Federal da...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=864
UFPB - Universidade Federal da...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=865
UFAL - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=866
UFCG - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=867
UFG - Universidade Federal de ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=868
UNIFEI - Universidade Federal ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=869
UFJF - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=870
